H_TT1	H_TT2	H_TT3	H_TT5	H_TT7	H_TT11	H_TT12	H_TT16	H_TT20	H_TT21	H_TT23	H_TT24	H_TT28	H_TT41	H_TT51	H_TT52	H_TT54	H_TT55	H_TT56	H_TT60	H_TT62	H_TT65	H_TT69	H_TT71	H_TT74	H_TT81	H_BP1	H_BP4	H_BP5	H_BP7
Dysosmobacter welbionis	0	0	0	0	0	0	35	0	80	0	0	225	0	0	0	25	65	0	182	0	0	0	61	0	0	0	0	0	0	0
Solibaculum mannosilyticum	0	147	0	26	15	51	34	0	0	0	0	13	0	0	0	0	10	85	44	0	24	0	74	55	9	17	0	0	0	110
Clostridioides difficile	21323	22228	13580	30102	29000	26795	368857	24590	9370	2087	4817	22501	9800	4165	2183	27042	27113	57330	25091	13902	71502	74821	47009	49018	11547	4832	21232	2385	0	40830
Fenollaria massiliensis	0	0	1323	0	0	0	564	33	37	0	0	0	22	0	0	534	188	46	0	0	848	16	14278	26	10	8	8	112	22	654
Fenollaria sporofastidiosus	0	0	282	0	0	0	162	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	3281	0	0	0	0	162	0	0
Aristaeella lactis	0	55	56	10	9	25	764	95	23	0	0	259	0	9	0	56	211	44	83	131	419	119	144	31	41	0	0	0	0	73
Parvimonas micra	0	11	16	11	0	0	657	72	194	10	17	154	31	0	5	523	594	7	128	21	1003	351	203	11	19	14	38	0	0	409
Peptoniphilus sp. GNH	0	0	56	0	0	0	1759	0	425	19	22	262	29	5	0	2210	575	14	161	13	1691	238	1212	34	30	18	14	12	0	947
Peptoniphilus equinus	0	0	42	0	0	6	1427	23	431	0	16	199	0	0	0	1829	1090	7	0	0	1190	659	1043	25	0	27	10	34	0	1286
Anaerococcus vaginalis	32	261	303	0	0	0	17796	0	588	0	0	1472	0	0	0	10865	6992	0	0	143	1932	180	918	587	0	0	0	0	0	2885
Ezakiella coagulans	31	19	113	32	12	15	25364	23	31	110	16	152	321	0	8	212	220	39	45	148	1729	68	7889	81	316	0	0	960	0	92
Veillonella parvula	117	15	93	74	0	57	127	187	57698	36	126	94	44982	42	31	432	20173	25	230	432	1976	4562	77	0	0	155	14415	45	85	450
Veillonella rogosae	0	31	0	10	0	0	0	232	4141	0	73	75	0	409	43	30862	405	39	4826	522	2913	13041	37	419	0	1625	32	13	42	9711
Veillonella sp. S12025-13	0	0	0	30	0	0	0	0	172	0	118	354	0	0	0	0	0	0	0	158	0	0	0	0	31	0	0	0	0	0
Sporomusa termitida	0	0	76	11	0	0	188	22	12	7	0	98	0	0	10	556	611	27	11	30	12	129	418	37	19	0	14	0	0	59
Cutibacterium acnes	6443	14443	1862	13638	5815	3804	45427	77413	12574	10789	4100	28345	26654	3488	2909	6162	3863	2717	159899	121030	149687	62321	40818	158359	17312	32207	19291	42701	29661	108852
Cutibacterium modestum	0	116	12	36	0	0	55	270	87	101	13	60	53	0	0	20	14	10	110	16	205	135	206	35	45	22	29	36	106	83
Arachnia propionica	7	0	13	0	0	0	5960	37	19	0	0	45	63	0	0	130	105	0	37	7	770	0	20	20	17	16	0	0	0	0
Propionibacterium freudenreichii	0	11	0	8	0	0	8710	23	52	0	12	98	213	18	0	154	95	81	12	0	264	23	44	0	0	5	0	0	0	81
Nocardioides sp. S5	106	114	0	0	0	27	0	519	27	0	0	59	143	43	0	0	0	0	140	20	0	2050	47	0	12	0	0	0	0	50
Nocardioides sp. zg-1228	47	0	0	0	0	0	0	24	0	0	0	23	15	0	0	0	0	13	48	0	11	231	0	0	19	0	0	67	0	56
Nocardioides okcheonensis	62	43	0	0	0	0	0	286	17	0	17	0	27	42	0	0	12	39	39	0	0	513	18	0	18	19	0	0	0	0
Micrococcus lylae	18	43	0	54	0	28	220	420	0	0	0	197	108	0	0	24	0	0	39	0	377	55	76	26	18	36	25	187	28	20
Micrococcus luteus	670	1386	283	484	93	323	9023	17591	637	331	662	1566	1442	346	85	84	205	102	2299	341	6510	1483	1326	2135	301	339	627	1177	281	1135
Micrococcus yunnanensis	0	497	0	0	0	0	0	2747	0	0	0	0	0	0	0	0	0	0	323	0	0	485	330	724	0	227	359	446	0	301
Kocuria rhizophila	420	308	159	494	111	429	941	6497	366	131	375	671	1258	361	0	110	132	55	1301	142	1128	1710	1028	1571	120	261	120	418	156	4980
Kocuria palustris	71	313	86	88	63	56	2680	808	101	17	68	753	208	63	33	98	71	10	364	73	937	869	259	183	27	91	0	179	33	299
Rothia dentocariosa	133	107	57	277	49	163	65	1867	112	179	73	479	371	13	53	149	40	16	484	121	2542	515	530	224	52	345	85	243	219	3192
Rothia mucilaginosa	145	302	40	113	0	112	228	3514	126	177	142	470	39	29	22	77	28	12	3571	115	940	375	719	170	99	344	119	623	54	644
Glutamicibacter protophormiae	0	0	0	0	0	0	0	316	0	0	89	0	0	0	0	0	0	0	146	0	667	68	0	0	0	104	0	0	0	0
Kytococcus sedentarius	22	310	0	0	0	16	238	49	0	16	21	57	126	0	0	0	6	0	34	0	139	51	70	16	33	41	10	1548	58	91
Microbacterium foliorum	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	87	0	0	0	0	0	0	0
Clavibacter phaseoli	20	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Curtobacterium flaccumfaciens	718	4097	70	33	18	3585	72	72	0	0	0	73	0	1250	1369	1481	1521	1048	586	0	561	63	272	0	705	156	150	1186	341	909
Pseudoclavibacter sp. Marseille-Q3772	19	8	29	97	0	58	86	14	0	0	0	8	0	0	0	0	0	0	85	0	60	0	9	0	0	0	0	8	12	0
Brevibacterium luteolum	11	7	0	43	0	0	18	42	0	0	0	0	0	0	0	0	0	0	105	0	91	126	0	156	7	0	0	21	8	0
Dermabacter jinjuensis	0	0	0	0	0	0	4156	2224	0	28	0	0	0	0	0	131	0	0	30	0	577	0	29	332	0	15	0	0	79	181
Janibacter sp. YB324	0	17	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	78	0	194	0	0	34	0	0	33	0	0	110
Janibacter limosus	54	23	26	0	0	0	298	36	31	0	0	10	16	0	0	0	16	9	0	0	327	177	196	53	128	0	0	0	0	15
Dermacoccus sp. PAMC28757	9	438	0	0	0	0	0	88	0	0	10	0	0	0	0	0	0	0	0	0	245	0	17	0	10	0	17	0	0	51
Dermacoccus nishinomiyaensis	24	31	0	17	53	0	0	20	42	0	10	53	59	12	0	0	0	0	43	0	204	0	19	54	15	0	118	0	0	71
Corynebacterium kroppenstedtii	298	669	74	278	148	113	216	6395	57	77	109	188	153	371	42	41	226	11	686	3224	9554	713	1302	667	253	286	25	169	212	722
Corynebacterium afermentans	36	88	27	186	25	109	26	1272	19	36	0	0	60	0	46	0	30	0	223	0	29	73	48	71	30	17	34	28	57	442
Corynebacterium sp. FDAARGOS 1242	0	38	37	21	0	18	353	335	9	159	13	31	0	0	0	201	20	0	13	28	0	58	412	1784	6	14	0	0	0	22
Corynebacterium sp. Z-1	0	82	21	0	0	0	0	1210	0	0	0	0	114	0	0	0	0	0	89	0	1185	0	0	258	12	0	78	0	0	0
Corynebacterium kefirresidentii	0	180	0	32	0	46	106	3837	0	888	0	170	109	0	56	72	44	16	31	131	207	64	166	1370	6	0	214	50	21	1001
