name	taxonomy_id	taxonomy_lvl	NEG	NC	TT28	TT54	TT20	TT81	TT60	AM26	AM24	AM29	AM13	TT21	AM48	TT55	TT23
Corynebacterium massiliense	441501	S	17	10	62	0	28	89	85	0	0	0	0	12	20	6	0
Corynebacterium glyciniphilum	1404244	S	16	18	32	0	0	20	63	0	0	0	0	5	0	34	0
Corynebacterium striatum	43770	S	16	59	795	17	81	61	232	5	8	16	0	1699	12	9	0
Corynebacterium resistens	258224	S	15	16	95	6	10	15	37	0	0	5	0	11	0	5	0
Corynebacterium ciconiae	227319	S	15	0	43	6	6	0	8	0	0	0	6	19	0	5	0
Corynebacterium humireducens	1223514	S	15	0	52	0	0	27	45	0	0	0	0	8	0	6	0
Corynebacterium renale	1724	S	14	0	34	0	6	0	34	0	0	0	0	14	0	0	0
Corynebacterium halotolerans	225326	S	14	0	95	0	5	10	43	0	0	0	6	12	0	5	0
Corynebacterium heidelbergense	2055947	S	14	17	31	0	0	9	16	0	0	0	0	23	0	0	0
Corynebacterium lactis	1231000	S	14	0	45	0	0	0	29	0	0	0	0	20	6	0	0
Corynebacterium riegelii	156976	S	14	26	289	36	61	21	118	9	0	9	0	17	13	9	0
Corynebacterium terpenotabidum	89154	S	14	0	21	0	0	9	49	0	0	0	13	11	5	0	0
Corynebacterium timonense	441500	S	13	0	93	0	0	18	90	0	0	0	6	9	11	5	0
Corynebacterium silvaticum	2320431	S	13	0	36	0	0	0	10	0	0	0	0	7	0	0	0
Corynebacterium comes	2675218	S	13	0	34	5	6	9	39	0	0	0	0	6	0	0	0
Corynebacterium bovis	36808	S	13	138	304	6	25	358	273	0	0	0	17	0	78	6	0
Corynebacterium efficiens	152794	S	13	10	49	7	7	19	47	0	0	0	50	14	9	9	0
Corynebacterium simulans	146827	S	14	78	1282	24	432	170	238	0	10	0	8	16803	10	34	0
Corynebacterium pseudogenitalium	38303	S	20	34	89	789	132	57	172	0	0	0	0	0	27	0	0
Corynebacterium atypicum	191610	S	12	5	47	0	0	7	29	0	0	0	13	26	0	48	0
Corynebacterium cystitidis	35757	S	12	0	27	6	6	0	10	0	0	0	0	7	0	0	0
Corynebacterium variabile	1727	S	11	184	91	7	14	183	2701	0	0	0	15	11	5	6	0
Corynebacterium guangdongense	1783348	S	11	0	60	9	0	0	39	0	0	0	10	9	0	0	0
Corynebacterium stationis	1705	S	10	7	42	0	19	7	193	0	0	0	0	16	0	0	0
Corynebacterium macginleyi	38290	S	10	100	190	5	57	164	248	7	14	0	13	29	29	5	0
Corynebacterium flavescens	28028	S	10	15	70	0	23	5	61	0	0	0	0	8	0	6	0
